Attribute count,Background,Skin,Cloth,Necklace,Mouth,Eyes,Hair,Hat,Type,mint,rank
8,Lagoon,Human,Puffy Jacket,No Trait,Zipper Mask,Red Eyes,Playmobil,Unika Hat,Aurorian,6KRofYx7xmqcWhcvY5hqBADfKFLngj7Vvh3rwFH23piY,35
7,Gradient Blue,Golden Blob,Scarf,Aurory Necklace,Lollipop,No Trait,Undercut,No Trait,Aurorian,YJdxVeQBcK1XyWomrrw31nmh453NSQwsSbdE1VYwCrL,36
8,Base Background,Human,Leather Jacket,No Trait,Barely Angry,Blue Skull Glasses,Combed Haircut,Unika Hat,Aurorian,AfB5RAk4osd8jJbbckF6keicQW1hxCz7qc8U6TQEb3eU,37
4,Base Background,Zombie,No Trait,No Trait,Bane Mask,No Trait,No Trait,No Trait,Aurorian,C2w9qdUSm4BJ19sUiVn6vtiB9fG5APpMxUmsrLfp4GHN,38
4,Base Background,Zombie,No Trait,No Trait,Oni Mask,No Trait,No Trait,No Trait,Aurorian,GyJQUpSuB36woyRpEERcBkd27nvjiiKcDBaS8Rc2YKJV,39
7,Base Background,Human,Green Sweater,No Trait,Big Smile,Base Eyes,No Trait,Unika Hat,Aurorian,3wyYUgUCrNDmHXe9Gsog3XZM1VPuVqyeGduPSnew3gJ1,40
4,Base Background,Zombie,No Trait,No Trait,Zipper Mask,No Trait,No Trait,No Trait,Aurorian,8EA1maQiZkMNhMaFrh6wt4N5dmNEkZwo7aDY9SBfCFXM,41
6,Base Background,Zombie,Open Leather Jacket,No Trait,Base Mouth,No Trait,Green Hair,No Trait,Aurorian,2ekaSgAYAqQseMwBNZrDyJmKHtomU5tqAxovrDFmKpCz,42
7,Base Background,Human,Base Cloth,No Trait,Base Mouth,Spring Glasses,No Trait,Unika Hat,Aurorian,8AWoAnuaztzWZEw5HsbXE25vjnkH48Ua1t8TPQn2Wxjs,43
6,Soft Blue,Zombie,Open Leather Jacket,No Trait,Base Mouth,Heart Glasses,No Trait,No Trait,Aurorian,A1Zg7j25zvjZCEdXCUxxrrF9Epzt6iHaqjs8QKEQHtYb,44
6,Soft Blue,Human,Beetlefox Outfit,No Trait,No Trait,Cat Eyes Red,No Trait,Beetlefox Hat,Aurorian,C1JjJp4zBpvrCcRjrxnHz288HkJrdYEp9AjoUsrEKTYE,45
7,Base Background,Human,Jacket,No Trait,Base Mouth,Cat Green Pupil,No Trait,Unika Hat,Aurorian,8uXHVzm9hyycReoP7vDBZSvK7qbvf82ubY4dZsnK8qZK,46
8,Lagoon,Human,Axobubble Outfit,No Trait,Cat Mask,Red Eyes,Curly,Dipking Hat,Aurorian,CUyXuXHbH9emnE9wfDsigSjctcZQjHW1gV74Z9Jz9GLY,47
7,Base Background,Human,Yellow Stripes,No Trait,Big Smile,Viper Shades,No Trait,Unika Hat,Aurorian,4PanuGW4aMjhUy4oZqKaBgZ2BvrjwMPCCVDY1JfEZeYE,48
4,Blue,Solana Blob,No Trait,No Trait,Zipper Mask,No Trait,No Trait,No Trait,Aurorian,Fw4S1UZGDu1J2YjBdGF9AX4TL12MqDA11W95x9D4YvaY,49
7,Base Background,Human,Overalls,No Trait,Big Smile,Base Eyes,No Trait,Unika Hat,Aurorian,9rTqq2dwWMv4ZsbRoZ6bgqQ4mCcp8AJPXofqhbfri1cU,50
8,Base Background,Golden Blob,Open Jacket,Aurory Necklace,Cat Mask,Aurory Glasses,Zero Two Hair,No Trait,Aurorian,9Fd1CAYtNu1qDJj3YZcEpArsAq7joVqirXV94DqtUsgy,51
7,Base Background,Solana Blob,Open Leather Jacket,Shark Necklace,Oni Mask,No Trait,No Trait,Phantom Cap,Aurorian,3ACKC7ggSme97sgRJvZvZygWWa1H95YwDoLegq5ZZG5R,52
7,Base Background,Solana Blob,Open Leather Jacket,No Trait,Paint Mask,Viper Shades,Purple Dreadlocks,No Trait,Aurorian,AMkGEf1ZSwbhckk5pYQbQsCWXojwG1hiZCKNLz4n1JfE,53
6,Soft Blue,Solana Blob,Open Leather Jacket,No Trait,Plague Mask,No Trait,No Trait,Beret Hat,Aurorian,9MFoCG8fAX8RNP6oNEpkexrjmiUqpviGSHVWTKHmREzu,54
7,Base Background,Human,Jean Jacket,No Trait,Base Mouth,Base Eyes,No Trait,Unika Hat,Aurorian,HpQfSntEwS6TLYD1qLW8xfxXfXQVe8dRZ5tYqZXZh3kg,55
7,Base Background,Human,Black Hoodie,No Trait,Base Mouth,Base Eyes,No Trait,Unika Hat,Aurorian,9uF7mSfGhCThy5bNEvLWzFJFvuxYZZXpbpo8D9mrqXCa,56
7,Base Background,Solana Blob,Open Leather Jacket,Solana Necklace,Oni Mask,No Trait,Playmobil,No Trait,Aurorian,2LVgS8T1vfuF8aojA1CBAmVeXBMU5XzmQd3ZJNkkDjaA,57
8,Base Background,Human,Base Cloth,No Trait,Base Mouth,Base Eyes,Playmobil,Unika Hat,Aurorian,BpjsX61e48eT4NztSEZhesDeWtAdaGsSnk1957BPDJW7,58
4,Base Background,Solana Blob,No Trait,No Trait,Steampunk Mask,No Trait,No Trait,No Trait,Aurorian,3zPU7i26VuVeaByHBNkCHkzn3VkXXUt3gUSKWtBwEJAc,59
8,Gradient Blue,Solana Blob,Open Leather Jacket,Aurory Necklace,Base Mouth,Heart Glasses,Zero Two Hair,No Trait,Aurorian,C2NKbrB1dpZt6rjbr34mTguwdRfAsCAbztY6sUVZg5MW,60
4,Soft Blue,Solana Blob,No Trait,No Trait,Oni Mask,No Trait,No Trait,No Trait,Aurorian,91FLU7vhyA5k9fnDQVoYGVggrLywNVaQxtqUq5ecsH86,61
7,Base Background,Solana Blob,Open Leather Jacket,Aurory Necklace,Plague Mask,No Trait,No Trait,Beret Hat,Aurorian,4VY5tb1xpr7GX4iyxPB3naKj2Roy1j4hNjhwJNdtfaME,62
6,Base Background,Solana Blob,No Trait,No Trait,Base Mouth,No Trait,Playmobil,Helios Hat,Aurorian,3vjxdm2r4EXYQLjGLfSkt1qWzsMtpVKRpztqyg5qyToG,63
7,Base Background,Human,Base Cloth,No Trait,Base Mouth,Spring Glasses,No Trait,Helios Hat,Aurorian,4BSborNvRCdVWZVwQMBk7kvAvwZ6MDzvXyNn4GA4w6rM,64
7,Base Background,Human,Jacket,No Trait,Grin,Cat Eyes Red,No Trait,Helios Hat,Aurorian,JAy72K6coFNrpFVxwNbHHTsybEHJ6TCAM2zZew9UYxbR,65
7,Soft Blue,Solana Blob,Open Leather Jacket,Aurory Necklace,Base Mouth,No Trait,No Trait,Gavroche Hat,Aurorian,C87aJWAKfRxR79vGNDoWYdDXbhthDota3y5EHmtnjdz9,66
8,Base Background,Solana Blob,Open Leather Jacket,Aurory Necklace,Plague Mask,Heart Glasses,Pigtails,No Trait,Aurorian,CaNS5PmNSCuou8rpwT1CXHsY5R1g33k6VH1AJ5Qf4N75,67
4,Base Background,Solana Blob,No Trait,No Trait,Bane Mask,No Trait,No Trait,No Trait,Aurorian,DGJXNidsYLwiwXqHXf1CjCV1Z7iS5Eib3os1umiBvZCN,68
4,Base Background,Solana Blob,No Trait,No Trait,Lollipop,No Trait,No Trait,No Trait,Aurorian,8xaEdToehU4fJZWz7ZJud7cJXTg1hRzWLygishbJtvHt,69
7,Soft Blue,Solana Blob,Open Leather Jacket,Aurory Necklace,Base Mouth,No Trait,No Trait,Phantom Cap,Aurorian,tbYQqnVSvwwEddfSmw26SQAh3CqswSAtGsKj9Bnr2gF,70
4,Gradient Blue,Solana Blob,No Trait,No Trait,Plague Mask,No Trait,No Trait,No Trait,Aurorian,CywRUA9RxP8DgfhBHsRdBaLGLZAsBZ4ST2NirW8uAnPF,71
7,Base Background,Human,Base Cloth,No Trait,Base Mouth,Base Eyes,No Trait,Unika Hat,Aurorian,25VHQL7qQZunxfyADExEvyhidBjVMAViN5gRuGdbVUyN,72
6,Base Background,Solana Blob,Open Leather Jacket,Solana Necklace,Plague Mask,No Trait,No Trait,No Trait,Aurorian,ByUTMve8StqxwkNmcWHaogG6twKXdcjT7rW2Tx5miBv8,73
7,Gradient Blue,Zombie,Scarf,Shark Necklace,Zipper Mask,No Trait,Undercut,No Trait,Aurorian,8aaEDaESzQqQW2gY2SxTFtpHmEQ7mTpZcnCnakJcnMTZ,74
7,Base Background,Human,Jean Jacket,No Trait,Cat Mask,Green,No Trait,Helios Hat,Aurorian,8kWXEvPdiiK6at45TSZzLbScYVJhHZDUQB1xM5ZMXEnD,75
4,Base Background,Solana Blob,No Trait,No Trait,Big Smile,No Trait,No Trait,No Trait,Aurorian,AoBmYsvNZa7BPtHJB5dmMWquxAxCvV1cDPmniTSUvyT8,76
4,Base Background,Solana Blob,No Trait,No Trait,Cat Mask,No Trait,No Trait,No Trait,Aurorian,EKcdHAd8NtgPZkUU4ii9MWZrnXD9WybEmU2B5syzoS1B,77
6,Base Background,Solana Blob,Open Leather Jacket,No Trait,Base Mouth,No Trait,Green Hair,No Trait,Aurorian,CDXXoXQ7jAsnQF3yoQGvKqdxxp9jyJsCLkdxVuQAGwXu,78
4,Base Background,Solana Blob,No Trait,No Trait,Base Mouth,No Trait,No Trait,No Trait,Aurorian,FqKPA7avkWx9rMyRU4m2vD6DB9D1ZnH6BkFMexDvEZPs,79
7,Soft Blue,Human,Base Cloth,No Trait,Cat Mask,Black Eyes,No Trait,Helios Hat,Aurorian,7T5LHAZ1n66i2z2vvxW1opcihC9A1D1h6wyiMLxz6Cde,80
7,Base Background,Human,Base Cloth,No Trait,Steampunk Mask,Base Eyes,No Trait,Helios Hat,Aurorian,Gad3gguxzjnraQ18t1kVxWj5gUYk1Jy2JdQBMgPvTY1U,81
8,Base Background,Human,Base Cloth,No Trait,Cat Mask,Base Eyes,Playmobil,Helios Hat,Aurorian,5CHdKJPPEHx9fqFkfPePj9VDufUbTg1q7tdY3NuGyknc,82
7,Base Background,Human,Axobubble Outfit,No Trait,Base Mouth,Base Eyes,No Trait,Dipking Hat,Aurorian,6BVcvKHKGXM1TSoSyacTmd7prMRi45oNSUibroMWuhmd,83
7,Soft Blue,Human,Base Cloth,No Trait,Base Mouth,Green Eyes,No Trait,Helios Hat,Aurorian,8saD1wzY6ZdLd7boXSK1qLaFU9BkWyJsmYYXrLVv6Tax,84
7,Base Background,Human,Base Cloth,No Trait,Base Mouth,Green,No Trait,Helios Hat,Aurorian,2sx9j2H8H4GQoEwHfWHKeQ4s7K9fVHzTCDe4WzzoAqay,85
7,Base Background,Human,Yellow Stripes,No Trait,Base Mouth,Base Eyes,No Trait,Helios Hat,Aurorian,CWwiBYqe8mVR6EtyKu6FAVxPQR1AeqpAuvPLe5yfAH3W,86
7,Base Background,Human,Base Cloth,No Trait,Base Mouth,Black Eyes,No Trait,Helios Hat,Aurorian,8u56fwofXw7fxYh1txtF8HVNk8C75JHKevb3UeAvBMhS,87
7,Base Background,Solana Blob,Scarf,Flower Necklace,Big Smile,No Trait,No Trait,Sam Hat,Aurorian,BKrfXhfDxMWTFQtNLxxNQgHxTrFKf5hgsSyYtPnhUDPb,88
7,Base Background,Human,Base Cloth,No Trait,Zipper Mask,Base Eyes,No Trait,Helios Hat,Aurorian,CLyvAmXtbiDxE2tfoo9PwinauBsGqcDyXHvcZBP1jzBw,89
7,Soft Blue,Human,Base Cloth,No Trait,Base Mouth,Base Eyes,No Trait,Helios Hat,Aurorian,FiRWGUhVo9KwexYbwtjAep6WpU5k9idLQGWj7knH5syP,90
5,Soft Blue,Solana Blob,Scarf,No Trait,Plague Mask,No Trait,No Trait,No Trait,Aurorian,E6Pjb7Nb5wk69qt85GoBbcDSwb61k4fGjyJq1z4jZajr,91
7,Base Background,Human,Bitebit Outfit,No Trait,Base Mouth,Base Eyes,No Trait,Dipking Hat,Aurorian,7aCDqpVR87XmWtDqewRasy2AsM5t3yhdB8isPUDU4jjM,92
8,Base Background,Solana Blob,Scarf,Solana Necklace,Base Mouth,Aave Glasses,Zero Two Hair,No Trait,Aurorian,8cfxgfUsxxtjkKCrt7eUgskKzKu4c1icwwqCAAmPZtQZ,93
6,Gradient Blue,Solana Blob,Scarf,Aurory Necklace,Paint Mask,No Trait,No Trait,No Trait,Aurorian,AFvgzS4ffnJmRAVcXXDprfLYrih8m4zq25c9WxWonHwn,94
7,Base Background,Solana Blob,Scarf,Shark Necklace,Oni Mask,No Trait,Curly,No Trait,Aurorian,9Eyfjw1nZn6Vopv2kpkCmnmNjVsAK8r6hU59BBaLe1ZE,95
8,Base Background,Solana Blob,Scarf,Aurory Necklace,Big Smile,Aave Glasses,Undercut,No Trait,Aurorian,7W4aCysoKN5TuAgDfiJtv8YG7J5nYksUGf2DYfLPAfUB,96
6,Base Background,Solana Blob,Scarf,No Trait,Base Mouth,No Trait,Clementine Hair,No Trait,Aurorian,6QfBb2qUZJeow6h94fuSMTz5icmQsb3Se6pzFyBJ4ULX,97
6,Base Background,Solana Blob,Scarf,No Trait,Base Mouth,No Trait,Blond Hair Attached,No Trait,Aurorian,5YvKzLj8BxsVf8U6nhTD2HGtN3dZNrgc3LNTdzaJTwAh,98
8,Base Background,Solana Blob,Scarf,Aurory Necklace,Base Mouth,Blue Skull Glasses,Green Hair,No Trait,Aurorian,HmNo1Vr9pu4atxEAzd2PBMARzwN2PZcpKEKjDrzNChsK,99
6,Gradient Blue,Solana Blob,Scarf,Flower Necklace,Base Mouth,No Trait,No Trait,No Trait,Aurorian,8mki1xu5c8jqtnDLP3aMVqj1ecExmMookLbjdiQqQxuL,100
6,Base Background,Skeleton,No Trait,Aurory Necklace,Steampunk Mask,No Trait,No Trait,Luffy Hat,Aurorian,2PFCqUKBfciccR3ZcoCCNvzSqQdk3ahChaqXGBCCjRhg,101
7,Soft Blue,Solana Blob,Scarf,Aurory Necklace,Base Mouth,No Trait,Combed Haircut,No Trait,Aurorian,7Vo5BGZvUHTtZNoRETKFuQry3FyuLhvJxA1z6U7P9A8N,102
6,Gradient Blue,Solana Blob,Scarf,Shark Necklace,Base Mouth,No Trait,No Trait,No Trait,Aurorian,GtaQ11ur8Fjo37KosmgvAb8M5EeUYmtzUE4tajCPGWPH,103
8,Base Background,Solana Blob,Open Jacket,Shark Necklace,Plague Mask,Spring Glasses,No Trait,Witch Hat,Aurorian,B3maFVXAwyyq13iGPtgFy2H9LG1gPx5XgMuh7Qh9BFEV,104
7,Base Background,Zombie,Open Jacket,Shark Necklace,Base Mouth,No Trait,Blob Hair,No Trait,Aurorian,CSqt1cWHt1QqCuaVxjkF4Wx4qC1e5f2qTZLu4PQgWmNb,105
5,Soft Blue,Skeleton,No Trait,No Trait,Oni Mask,No Trait,No Trait,Phantom Cap,Aurorian,Bnyu6vbyFLxMPN3fYYisJED2YpNhuj4rPMEQhNRUpwy5,106
7,Base Background,Solana Blob,Open Jacket,No Trait,Base Mouth,Viper Shades,No Trait,Luffy Hat,Aurorian,4opkj16DyJ9ZsgRWQpcsiChssrxsTcfnW35f5CTcYqRA,107
6,Base Background,Solana Blob,No Trait,No Trait,Cat Mask,No Trait,Clementine Hair,Dipking Hat,Aurorian,BKQ6wc8cRg21U8TRwkFbA2QpJM21T7yCUaU2ExiNRMHs,108
7,Base Background,Solana Blob,Open Jacket,No Trait,Base Mouth,Aurory Glasses,No Trait,Twitter Hat,Aurorian,7crCcQEDViUf8v9BRcWAzkt8fmQoU5qxi7eqZrm1opBL,109
8,Base Background,Human,Jacket,No Trait,Barely Angry,Viper Shades,Playmobil,Dipking Hat,Aurorian,6tHkz9g56juhWp9nPZvEYgrh3Sbz2NwwSK5tUDNjBXzJ,110
8,Base Background,Human,Helios Outfit,No Trait,Base Mouth,Base Eyes,Combed Haircut,Dinobit Hat,Aurorian,8ZjAjGMZh95AnARnfmwz8d3Yj44wZkWRUaxGkDmtk22V,111
9,Soft Blue,Human,Dipking Outfit,Aurory Necklace,Base Mouth,Base Eyes,Curly,Axobubble Hat,Aurorian,Fg9bsPJDBbcmNkXzJnehnYEmUb4PyFtEebEhczoyWagv,112
6,Gradient Blue,Human,Sam Outfit,No Trait,No Trait,Cat Eyes Red,No Trait,Sam Hat,Aurorian,BgiPg8E83kdCbz67JvcUMsiguL9rT27hoYsr1nr3S15V,113
6,Base Background,Skeleton,No Trait,Solana Necklace,Paint Mask,No Trait,No Trait,Plague Hat,Aurorian,41LoDdTDK6EprVk2ntjjmdSXkgNfMj2hUTLCtDHANBgn,114
5,Base Background,Skeleton,No Trait,No Trait,Oni Mask,No Trait,Combed Haircut,No Trait,Aurorian,9ZcUMMm1G598c6j82HWtvxEcGQDVfsxJtfvQNzTkwV7a,115
6,Gradient Blue,Skeleton,No Trait,Shark Necklace,Oni Mask,No Trait,No Trait,Witch Hat,Aurorian,6MyNqAjTnwvMFKuGyrJaktmwjh1kCXcv8cDKpBnqyKz6,116
6,Lagoon,Solana Blob,Open Jacket,No Trait,Base Mouth,No Trait,Clementine Hair,No Trait,Aurorian,3MJHJhu7Ec6wDb2R5r3eyK1rpXf8z9ZzVmH1w4VYTsmq,117
8,Lagoon,Solana Blob,Open Jacket,Aurory Necklace,Base Mouth,Viper Shades,Blob Hair,No Trait,Aurorian,FZgziqKbFXeDCH5FePmsRLr3GBDmX5vkp1UiSr6RopBy,118
6,Base Background,Solana Blob,Open Jacket,No Trait,Oni Mask,No Trait,No Trait,Feather Hat,Aurorian,5pEiiv6VpqWfA1PV1HDxREsfgW6nKsWWywsumxFYteFm,119
6,Gradient Blue,Skeleton,No Trait,Shark Necklace,Oni Mask,No Trait,Purple Dreadlocks,No Trait,Aurorian,2CRWqkZGbE1vECUMXtT1k6w33XXW7J5Fjc34tZcvDhZu,120
6,Base Background,Solana Blob,Open Jacket,No Trait,Grin,No Trait,White Hair,No Trait,Aurorian,AecU55puSWi74BdLNiA1d41F92oFgN21mrt1twD2wdSG,121
8,Base Background,Human,Jean Jacket,No Trait,Base Mouth,Viper Shades,Curly,Dipking Hat,Aurorian,CE5qdhTFTVZQBnM5xjq55xRY7cv4ymhLMPDXbT8SMHRv,122
8,Base Background,Human,Black T-Shirt,No Trait,Cat Mask,Base Eyes,Combed Haircut,Dipking Hat,Aurorian,5bftTZrymnq5ayU6rKYMGdWdJB9svqKSzqP4hvWNwFzE,123
6,Base Background,Solana Blob,Black Hoodie,No Trait,Base Mouth,No Trait,No Trait,Dipking Hat,Aurorian,357bjuW193Z4Npess4ug1ivB7rYm5BH3Rc6N83A6N5Dg,124
8,Base Background,Solana Blob,Open Jacket,Aurory Necklace,Base Mouth,No Trait,Playmobil,Raccoon Hat,Aurorian,3vCkWW4UbSG4FhGicpw33DYbYdAvRVhJpm6urifGzjXG,125
7,Base Background,Human,Puffy Jacket,No Trait,Base Mouth,Green,No Trait,Dipking Hat,Aurorian,5Dnru2vYE14BpFL8hdnyhooENxNQiuxHdukhZ2yKosu9,126
7,Base Background,Human,Black T-Shirt,No Trait,Base Mouth,Heart Glasses,No Trait,Dipking Hat,Aurorian,5hJECkZbiDpvQTLu2iKfDPMCFQrwZ18oGdNcoznKGvCR,127
6,Soft Blue,Solana Blob,Open Jacket,No Trait,Base Mouth,No Trait,No Trait,Cute headphone,Aurorian,9Nh9bY26YhhsnANxa2WNmWee6nCXoaagx7ER1K35TaCW,128
6,Base Background,Solana Blob,Open Jacket,No Trait,Lollipop,Steampunk Glasses,No Trait,No Trait,Aurorian,DwqmoFLTuCYi4zjrdUxAScE6bf2jqh93WW2AoM9BXmsA,129
7,Base Background,Solana Blob,Open Jacket,No Trait,Base Mouth,Blue Skull Glasses,Purple Dreadlocks,No Trait,Aurorian,9crsnaU8CWohNQXTB7TRgTLNtbnrfMZRtt2dw2MVMeS9,130
7,Base Background,Human,Base Cloth,No Trait,Grin,Black Eyes,No Trait,Dipking Hat,Aurorian,EJscKkEKTG8X86SpeTXFjAk9BGHeo6v8YDF2WYcS8GpZ,131
6,Base Background,Solana Blob,Open Jacket,No Trait,Zipper Mask,No Trait,Blond Hair Attached,No Trait,Aurorian,FyRRE76jKUxF81KQvhw7XiopoHwJLMJYUSBwNb1nXWHo,132
7,Base Background,Solana Blob,Open Jacket,Aurory Necklace,Base Mouth,No Trait,No Trait,Feather Hat,Aurorian,HoBWnyBAuZDqZb2VVLQbVqEAqMKKBdkX1T7C9EuEMqkG,133
7,Soft Blue,Human,Base Cloth,No Trait,Base Mouth,Aave Glasses,No Trait,Dipking Hat,Aurorian,YvxLbj2DQVgjyGyMqifdofxkXPzr9DLLjKyWc6HPqSo,134
6,Base Background,Skeleton,No Trait,Aurory Necklace,Zipper Mask,No Trait,Purple Dreadlocks,No Trait,Aurorian,CEkJCET1VXEwhxVSzEMQ5tbTCznDfT8trNuXzUtDChhf,135
