Attribute count,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature,Legend,mint,rank
9,Standard,Crown,Haka,No Trait,Wayfarers,Boots,Nz Away Jersey,Black,Dosbrak,Jonah Lomu,B1MuJbHTWqAyfMcgs8Z63d5TEXAecY3QrDniQ3b3UH6q,31
9,Standard,Hat,No Trait,Solana Mouthguard,Wayfarers,Egg Ball,Astronaut,Black,Dosbrak,Jonah Lomu,FRs7xmqhEFfK4h6of6rcm85uteKzbcQCYbKTGyDQXR16,32
9,Standard,Hat,Sweat,Nz Mouth Guard,No Trait,Diamond Ball,Solana Jersey,Red,Dosbrak,Jonah Lomu,3FA2UQFszcNhoL3k6z98KMnny5UGoPqb6ANDCAxgaM1s,33
8,Standard,No Trait,Haka,No Trait,Eye Injury,Old Ball,Astronaut,Blockasset,Dosbrak,Jonah Lomu,BLjFG1umpPMmYSSSBX2k5i3wigCs5ZQAbhQfHuJp43ZK,34
7,Young,Crown,No Trait,No Trait,No Trait,Old Ball,Solana Jersey,Purple,Dosbrak,Jonah Lomu,7s4FbQmU5Uy46RKCPACsXGGymZz6pj7MTKgqBPzrD57o,35
7,Standard,No Trait,No Trait,No Trait,Eye Injury,Nz Ball,Astronaut,Blockasset,Dosbrak,Jonah Lomu,4YCfAiLni1tCr6WqMbXrU2G1Re5bYxXFdkPBb1pFUfcF,36
7,Old,No Trait,No Trait,No Trait,Wayfarers,Diamond Ball,Nz Away Jersey,Blockasset,Dosbrak,Jonah Lomu,8dfhZJceJG5h63JaMdj79ANwmaD6L69EvAWXnfpjFDjB,37
7,Standard,Crown,No Trait,No Trait,Wayfarers,No Trait,Blue Suit,Orange,Dosbrak,Jonah Lomu,9w45vFdqv3PjDPtV9gjEbHCVianSKbkeHE1KvSw7AxhM,38
9,Young,Hat,No Trait,Nz Mouth Guard,Wayfarers,Boom Box,Black Tie,Blockasset,Dosbrak,Jonah Lomu,BBWUjMnwdRVG6cLptg6UC1oHAQAAh9kC3LG9unopJKQi,39
9,Old,Ba Snapback,No Trait,Solana Mouthguard,Wayfarers,Diamond Ball,Nz Jersey,Red,Dosbrak,Jonah Lomu,C5kbutSMYGYtRrG3UPhAAAxHTgQCGNrL3kJNmFq9UGZe,40
7,Standard,Crown,No Trait,No Trait,No Trait,Old Ball,Shirt,Black,Dosbrak,Jonah Lomu,ETbfahxCV3ZDN5GyqcMeeFZMPjdXo6ScmpDBQzwtfuo7,41
8,Standard,No Trait,Haka,No Trait,Laser Eyes,Old Ball,Astronaut,Purple,Dosbrak,Jonah Lomu,7ZTnKi89VLnxJ1KHUtKJmP8VtSZ66WrJZTauMaiForYY,42
7,Standard,Crown,No Trait,No Trait,No Trait,Crown Ball,Solana Jersey,Orange,Dosbrak,Jonah Lomu,9BGqX4Paz9enaFtfGHoNdshyQHCgg4rxJMSs5fxSTNyQ,43
8,Standard,Halo,No Trait,No Trait,Wayfarers,Diamond Ball,Nz Jersey,Black,Dosbrak,Jonah Lomu,BfPfH6AuZM6ie3C4RDddp6DvDt2oqt3Sxvk3ZV2GA19x,44
8,Old,No Trait,No Trait,Solana Mouthguard,Eye Injury,Diamond Ball,Nz Jersey,Purple,Dosbrak,Jonah Lomu,6GpvNqHKqJewkKWuzh4qSawFrXr8a7Ppm1veFWiAQqR,45
7,Standard,Hat,No Trait,Solana Mouthguard,No Trait,No Trait,Astronaut,Red,Dosbrak,Jonah Lomu,7xUwgXRpiY12vzPhK9AoXiwLHfgFFPNhSud1TQ1UKSgo,46
7,Young,Ba Snapback,No Trait,No Trait,No Trait,Crown Ball,Astronaut,Red,Dosbrak,Jonah Lomu,Bj71RwJ86S3QMHtLAwYi8Y9eWnyESJ2iNoBBjq94y1u3,47
6,Standard,Crown,No Trait,No Trait,No Trait,No Trait,Solana Jersey,Purple,Dosbrak,Jonah Lomu,8KLi2qqw82d2AGpT8WXKv2WZbrsmitwZ9S9azfohckjK,48
8,Standard,No Trait,Haka,No Trait,Wayfarers,Diamond Ball,Yellow Jersey,Red,Dosbrak,Jonah Lomu,CqwA9hnTHPVMsNGcCjWQFgmT5fudSgJN37ViUtMM8gwb,49
7,Standard,Ba Snapback,No Trait,No Trait,No Trait,Diamond Ball,Yellow Jersey,Red,Dosbrak,Jonah Lomu,8Uef6jWAwjKDYLD2yJ9EqwmR9CKxNLMzzZYqLxzvNfAg,50
7,Old,No Trait,Haka,No Trait,No Trait,Diamond Ball,Yellow Jersey,Black,Dosbrak,Jonah Lomu,89cNbsvHJGg4AusZKxCVd49LzFKJfJkykfxkjnzXWukq,51
7,Standard,No Trait,No Trait,Solana Mouthguard,Wayfarers,No Trait,Astronaut,Blue,Dosbrak,Jonah Lomu,5GkiwUB3fSnT3896w6wMiWtLLSpGcycxrVZs3kwerDkH,52
7,Old,Hat,No Trait,No Trait,Wayfarers,No Trait,Astronaut,Orange,Dosbrak,Jonah Lomu,6YgcmxQy3aqdTRnWihsVgKAtwic5QJvxnkNcRfDptCHo,53
8,Standard,Ba Snapback,Haka,No Trait,No Trait,Ball,Astronaut,Blue,Dosbrak,Jonah Lomu,5YFDj82GGbRcHtq4brjGuYqP5fWdJjTuXBRPJL5EpJhy,54
7,Young,No Trait,No Trait,No Trait,Eye Injury,Diamond Ball,Solana Jersey,Black,Dosbrak,Jonah Lomu,5ocVqFaqyJG5DBFdiqHqp31iV2AN7ZiXSjtqqtrmybQm,55
6,Old,No Trait,No Trait,No Trait,No Trait,Gold Chain,Astronaut,Black,Dosbrak,Jonah Lomu,Ef3Z2rnXRD64jpTe6ztr3AeUkHVx2FtKE9D1jWDWf84e,56
8,Standard,No Trait,No Trait,Solana Mouthguard,Wayfarers,Diamond Ball,Nz Jersey,Red,Dosbrak,Jonah Lomu,4qXKA8SekhLRx1Uejossf7TtAwP58Ts5CXwxTAHkgDUk,57
7,Standard,No Trait,No Trait,Nz Mouth Guard,No Trait,Ball,Astronaut,Purple,Dosbrak,Jonah Lomu,Bs5Zmn1QuBW2WYUaEbubg8Dw89ppiVbrgq2Zuw9aqciw,58
7,Standard,Headband,No Trait,No Trait,No Trait,Diamond Ball,Shirt,Orange,Dosbrak,Jonah Lomu,36EgbrzRj6Yab3T73M1kCYwcapPdNErmtvDKtQjoMUtp,59
6,Young,No Trait,No Trait,No Trait,No Trait,Diamond Ball,Shirt,Black,Dosbrak,Jonah Lomu,AaM55VmuWgyqP2k3B7ci8YoYgDTxY8UaDAoVqg8UagEg,60
7,Standard,Headband,No Trait,No Trait,No Trait,Nz Ball,Astronaut,Orange,Dosbrak,Jonah Lomu,59zD5iv1vM5YVs6VHN6nytVjr77v5XfHotu8HVjf2E57,61
7,Standard,Headband,No Trait,No Trait,No Trait,Diamond Ball,Solana Jersey,Blue,Dosbrak,Jonah Lomu,9dvnjUuMZdpTLmjwUZwmAscoqxNXN4VeaDcXpufUJKrA,62
7,Standard,No Trait,No Trait,No Trait,Eye Injury,Diamond Ball,Cm Jersey,Orange,Dosbrak,Jonah Lomu,5hqTDqpQF9odsWJmc7Py49aWShwfRkYHF1Fv9K5TC8af,63
7,Standard,No Trait,No Trait,No Trait,Eye Injury,Diamond Ball,Cm Jersey,Black,Dosbrak,Jonah Lomu,DkCQgQ4d73pg9ErjK1HXQUQJp5AjbAWUqqpzpHCCiNyc,64
7,Young,No Trait,Haka,No Trait,No Trait,Diamond Ball,Nz Jersey,Black,Dosbrak,Jonah Lomu,4BqNkzyZYBmdo12MHKgSHbQCDLvB4kg8Qyznt7SkKAiA,65
6,Standard,Headband,No Trait,No Trait,No Trait,No Trait,Astronaut,Black,Dosbrak,Jonah Lomu,ADijjzWGXeGaWnGiGkraJXW6yeco56Wd5DNj6WkLQ3gA,66
6,Standard,Hat,No Trait,No Trait,No Trait,No Trait,Astronaut,Orange,Dosbrak,Jonah Lomu,HUFyNCkLtEau4PYeeqQBWs93jLSLh9QLmKYRzbUW4SNZ,67
7,Standard,No Trait,Haka,No Trait,No Trait,Crown Ball,Astronaut,Orange,Dosbrak,Jonah Lomu,6TH1fyWMzaYXFgGtmSdAXBG9RXn2hT4wKcEhRvrbwHfL,68
8,Standard,No Trait,Bane,No Trait,Eye Injury,Boots,Black Tie,Red,Dosbrak,Jonah Lomu,B6wC1syZbR76eVMqKYay77e9xEFcQurR1Vhz5KyRe7Y2,69
5,Old,No Trait,No Trait,No Trait,No Trait,No Trait,Astronaut,Blue,Dosbrak,Jonah Lomu,G73XwJMVgWonhbWj2Kahyc9V7jE4x94kBumyjtyKRvi7,70
7,Standard,No Trait,Haka,No Trait,No Trait,Diamond Ball,Solana Jersey,Purple,Dosbrak,Jonah Lomu,Hgfy6XMyT1ydo7WUkif1SQyYXFmHKTKGMCJwz6RoCckC,71
6,Standard,No Trait,No Trait,No Trait,Wayfarers,No Trait,Astronaut,Black,Dosbrak,Jonah Lomu,3EqScW7aYfQtW7kCWh3injktVALKDsVKypSrAesZtCg4,72
6,Old,No Trait,No Trait,No Trait,No Trait,Diamond Ball,Nz Jersey,Blue,Dosbrak,Jonah Lomu,KLxizfsSh448Z4mXzEcZCEPZ9iUDrZPQXCeVEC6mDvU,73
6,Standard,No Trait,No Trait,No Trait,No Trait,Diamond Ball,Cm Jersey,Orange,Dosbrak,Jonah Lomu,GX9eTJyRNhUv5HT1mgPYg7gCe85oacbaVXg4hK8z57BK,74
5,Standard,No Trait,No Trait,No Trait,No Trait,No Trait,Astronaut,Blue,Dosbrak,Jonah Lomu,DN7EYWAgAXDmyk2MjCVMwz3YivPFssFoV8Qbufk6QsXs,75
8,Standard,No Trait,Bane,No Trait,Laser Eyes,Gold Chain,Blue Suit,Blockasset,Dosbrak,Jonah Lomu,82c6rRAyEA8wA4tDw6JHLYX2p4DFys8sGArAn8hgPr5L,76
10,Standard,Ba Snapback,Bane,Solana Mouthguard,Laser Eyes,Crown Ball,Blue Suit,Purple,Dosbrak,Jonah Lomu,J7rFSt3xpHHPVqvmzvdBEKU4rAYqzegdLpq3egoFWESE,77
9,Standard,Hat,Bane,Nz Mouth Guard,No Trait,Egg Ball,Nz Old Jersey,Purple,Dosbrak,Jonah Lomu,6DeALLtrWAFVNDFLYyqsGp2kwKHjQitapebk7guFna2n,78
9,Standard,No Trait,Bane,Nz Mouth Guard,Eye Injury,Ball,Blue Suit,Blockasset,Dosbrak,Jonah Lomu,AGhHKMk6GuHjCDgmEL3VrYvtPDCrr5e5EBKUWSVXzHJh,79
7,Young,No Trait,No Trait,No Trait,Wayfarers,Boom Box,Black Tie,Blue,Dosbrak,Jonah Lomu,7jWTwwG5pFkdW4vCWZXEuuBPPyxKu8LvVgGWoJ89U2Ba,80
9,Standard,No Trait,Bane,Solana Mouthguard,Eye Injury,Crown Ball,Yellow Jersey,Red,Dosbrak,Jonah Lomu,EwvwurqAeeebMvDztFXyYXfFsg2rsXhM7JMS7B5wBFwM,81
7,Standard,No Trait,No Trait,Solana Mouthguard,Laser Eyes,No Trait,Black Tie,Gold,Dosbrak,Jonah Lomu,FMSeFxR5YXPLi8a4UuczjJD4coegNBxZ8vi5etK4TUbD,82
9,Standard,No Trait,Bane,Nz Mouth Guard,Eye Injury,Egg Ball,Shirt,Orange,Dosbrak,Jonah Lomu,1DGUsMQEsBktuAjwNoxjfTh663nzRGYSTr72dwv9XZF,83
8,Young,No Trait,Bane,Solana Mouthguard,Eye Injury,No Trait,Cm Jersey,Red,Dosbrak,Jonah Lomu,AY9rv5NiFYnsubshQZoYRa8gWtmR8RVdY3pMWNzZd9Jg,84
8,Standard,Headband,Bane,No Trait,No Trait,Nz Ball,Nz Old Jersey,Blue,Dosbrak,Jonah Lomu,4VWDGyjFKFEUDYv5vFxM7U457yRMXgCK1wcyK6mkYJ1Y,85
9,Standard,Headband,Bane,Nz Mouth Guard,No Trait,Boots,Shirt,Orange,Dosbrak,Jonah Lomu,Ak9ottg8UqdoyyLX1sHmfM4bkSa1tTKzaa6hYmCpHzTG,86
7,Old,No Trait,Bane,No Trait,No Trait,Nz Ball,Cm Jersey,Blockasset,Dosbrak,Jonah Lomu,4C6ADbtS3uUFMkq4bvoGuDXo6ppGFviiGGB5pgS22Je2,87
7,Old,No Trait,Haka,No Trait,No Trait,Boom Box,Nz Old Jersey,Gold,Dosbrak,Jonah Lomu,W3oAgecTsJpsEWenBm4F5b6BGQQT17fuJ6vcrXcUzj6,88
7,Young,No Trait,No Trait,Diamond Grill,No Trait,Egg Ball,Black Tie,Blue,Dosbrak,Jonah Lomu,4QB5iKA7Cnu7WtxDMq1vn7wGzjjS1CNGFSqnNfPEzaHS,89
7,Young,No Trait,Bane,No Trait,No Trait,Egg Ball,Yellow Jersey,Orange,Dosbrak,Jonah Lomu,5ev1fpVVZZXjY41kZa6qUQstCb8BHiVCneYFLy4KuRhx,90
9,Standard,Headband,Bane,Nz Mouth Guard,No Trait,Ball,Blue Suit,Orange,Dosbrak,Jonah Lomu,ECLLLSnmp2qACijR7WBcfonY1yPZBY15JsTc3V4E9Nvw,91
9,Old,Ba Snapback,Sweat,Nz Mouth Guard,No Trait,Boom Box,Yellow Jersey,Red,Dosbrak,Jonah Lomu,6cHgxVAwS5nHSs7DUk2Fh6UYwWB4ysr9vxZahNGfDMj5,92
9,Standard,Ba Snapback,No Trait,Diamond Grill,Wayfarers,Crown Ball,Black Tie,Black,Dosbrak,Jonah Lomu,4H5TmNxMCrTyzP7z1rEAZW7BpPmtNecaT8BeRA6NNRB4,93
7,Standard,No Trait,Bane,No Trait,No Trait,Egg Ball,Nz Old Jersey,Blue,Dosbrak,Jonah Lomu,4tDuSB9w3JUkKZroM2HMTDLmcVSipCAVsCZRHricPDhu,94
9,Standard,Hat,Haka,No Trait,Wayfarers,Nz Ball,Black Tie,Gold,Dosbrak,Jonah Lomu,7LjPivVw5fjs84DRt7ZvLFQ3a3kTLh848b958366foA3,95
7,Standard,No Trait,No Trait,No Trait,Laser Eyes,Boom Box,Shirt,Gold,Dosbrak,Jonah Lomu,9mUYEAxPdHoQ7v3TJ8bWwJiSeRtzCweVpzeV6iv1b2sK,96
8,Standard,Headband,Bane,Nz Mouth Guard,No Trait,No Trait,Blue Suit,Orange,Dosbrak,Jonah Lomu,5zfuXq89arewPRVfPEoNY9s82tTXEF4qugZN9eVaXLmH,97
8,Standard,No Trait,Bane,No Trait,Eye Injury,Gold Chain,Shirt,Red,Dosbrak,Jonah Lomu,AejtCKitvRPxJWKeN2QfjvUvL4XSopYDDH769S6kgEsh,98
8,Old,No Trait,No Trait,Diamond Grill,Eye Injury,Nz Ball,Black Tie,Purple,Dosbrak,Jonah Lomu,3vp1bPvrgrqVLYAKaYsngG3bSrkbhbVcdR9YskEzyAbq,99
8,Standard,Ba Snapback,Bane,No Trait,No Trait,Crown Ball,Yellow Jersey,Orange,Dosbrak,Jonah Lomu,FK99k96NHnpcw41eqJdJaEdJrDowfBnGBR7a3NmqFFu3,100
8,Standard,No Trait,Bane,No Trait,Eye Injury,Old Ball,Yellow Jersey,Blue,Dosbrak,Jonah Lomu,DTRnJTyRgL5FKkYatzjaJTYGAuzPpGjfU6uU6YE9ScPA,101
8,Old,No Trait,No Trait,Diamond Grill,Eye Injury,Old Ball,Black Tie,Red,Dosbrak,Jonah Lomu,6KkzYDzPwWZgvAbbA1Lqh3fNRmwB58mKoiVKBE1KQKNg,102
8,Old,Headband,Bane,No Trait,No Trait,Crown Ball,Shirt,Orange,Dosbrak,Jonah Lomu,7zbHNCjhzCRqfDYpeFsovLxrEc1QNNss8yLsiW1y65QP,103
8,Old,No Trait,Bane,Solana Mouthguard,No Trait,Boots,Nz Away Jersey,Orange,Dosbrak,Jonah Lomu,DEXHp4fJTC4833E2CddEivNJQ6yiZXmCZLvdZsMpwLBe,104
8,Young,Ba Snapback,Bane,No Trait,No Trait,Nz Ball,Solana Jersey,Purple,Dosbrak,Jonah Lomu,6ebJSBR5rmEdzgkAQNJ6Ms1szXRMc2UVPmkVWqah23HW,105
8,Standard,No Trait,No Trait,Solana Mouthguard,Eye Injury,Old Ball,Black Tie,Blockasset,Dosbrak,Jonah Lomu,EE1x5sSVu2aWTvkW6fmegwKJcbHppawwPoa4HM1uRMfL,106
7,Standard,Hat,No Trait,Diamond Grill,No Trait,No Trait,Black Tie,Black,Dosbrak,Jonah Lomu,2kcQDfbPKRtBXwT76mtFpVwQA3NYGFmhiAXApgepkSWu,107
7,Old,No Trait,No Trait,Nz Mouth Guard,No Trait,Boots,Black Tie,Blockasset,Dosbrak,Jonah Lomu,GJ6yLoyFCt5EsxPQkXV8rRRPVT6XN9jVkzMvWqmMhE3n,108
7,Standard,No Trait,Bane,Nz Mouth Guard,No Trait,No Trait,Cm Jersey,Blue,Dosbrak,Jonah Lomu,3nB8q5qtbNssmAZPgXCKzp5zTMrGitRwb53YGa9qsvAZ,109
8,Standard,No Trait,Haka,No Trait,Eye Injury,Boom Box,Solana Jersey,Gold,Dosbrak,Jonah Lomu,AEf9M8gsrQNxyg2GwsGnJ1yzPHc3UB4sULKoDxpBYPkW,110
8,Old,No Trait,No Trait,Solana Mouthguard,Laser Eyes,Boom Box,Blue Suit,Red,Dosbrak,Jonah Lomu,AsgMJNgG1oRMbqFyY7YQmRDdGXCL4uapW2opcuhFU8uP,111
7,Standard,No Trait,No Trait,No Trait,Wayfarers,Boom Box,Yellow Jersey,Blockasset,Dosbrak,Jonah Lomu,6DnRrbT6Z8dSv4bv8XwMXKsjBs6AuVRTyfYg5MTHD8nX,112
8,Standard,No Trait,Bane,No Trait,Eye Injury,Boots,Solana Jersey,Red,Dosbrak,Jonah Lomu,5MmyGjsSiYbuqQkiS6jaPMdc2BWm2f7UxDPz9q1t7MFb,113
8,Old,Halo,No Trait,Diamond Grill,No Trait,Egg Ball,Nz Jersey,Blockasset,Dosbrak,Jonah Lomu,EuvpAoBW72MdQQagFs7hoT5FLvCCYqNGgE5yCcywYZny,114
8,Old,Ba Snapback,Bane,No Trait,No Trait,Ball,Solana Jersey,Orange,Dosbrak,Jonah Lomu,HW6ngJC6a8QYKf7mqzCoGufscQDBbwn9MUzAkUJqTXBp,115
8,Standard,No Trait,Bane,Nz Mouth Guard,No Trait,Ball,Solana Jersey,Orange,Dosbrak,Jonah Lomu,Byj9m8exmmFGxNS2iExt8voxPTzrWTBDJcuPAvAxyaP1,116
7,Old,Hat,No Trait,No Trait,No Trait,Fire Ball,Black Tie,Black,Dosbrak,Jonah Lomu,CvaHA18a3ycDJnggiArr2vjaK5CzndrsA9sgi69hCBvb,117
7,Standard,No Trait,Sweat,No Trait,No Trait,Boom Box,Solana Jersey,Blockasset,Dosbrak,Jonah Lomu,BEABM1s4M6bD4F3LTt8xnLLwjAjhuepLBTeMhs9KPb6h,118
8,Standard,Hat,No Trait,Solana Mouthguard,No Trait,Egg Ball,Black Tie,Blue,Dosbrak,Jonah Lomu,63PVRJUasugk9KaSqpjMFDXXaPHfB76wPG8RLsobKhDB,119
7,Standard,Headband,No Trait,No Trait,No Trait,Fire Ball,Black Tie,Purple,Dosbrak,Jonah Lomu,At7Dg3KmmNyiPKk8S9DBhLc5jq55zSdKKZDBM6gGhjFA,120
8,Standard,Hat,Bane,No Trait,No Trait,Nz Ball,Nz Jersey,Black,Dosbrak,Jonah Lomu,BJE6utWeAVVKumsqPY4yK1UnyCzF5Lg8HM466BHNyXAG,121
8,Standard,Ba Snapback,Bane,No Trait,No Trait,Old Ball,Solana Jersey,Red,Dosbrak,Jonah Lomu,3a6ApshB6nit8ZbGHBVsuxyUeTnCfbit4cvJPnHdHQ2h,122
7,Old,No Trait,No Trait,Solana Mouthguard,No Trait,Boom Box,Nz Old Jersey,Black,Dosbrak,Jonah Lomu,4WggqGSLQkGRvbftHL2mJG7Fkb5etn1Ynv6ELh5AVxzx,123
10,Standard,Ba Snapback,Sweat,Nz Mouth Guard,Laser Eyes,Gold Chain,Nz Old Jersey,Orange,Dosbrak,Jonah Lomu,CkBnZCJACY3B4Mt1x5z2Yn2WYjFxWg8ZVojoopdR8WXp,124
6,Old,No Trait,Bane,No Trait,No Trait,No Trait,Cm Jersey,Blue,Dosbrak,Jonah Lomu,3JggxZen1Dc8oqHPMTrZPkmBzG6LFAgpggLM5yrmRKnj,125
8,Standard,No Trait,Bane,No Trait,Eye Injury,Ball,Solana Jersey,Orange,Dosbrak,Jonah Lomu,68azadG1SvqEFawJEEb1Vi6FbsSS9K1kcYu7QAV88EbX,126
8,Standard,Hat,No Trait,No Trait,Laser Eyes,Nz Ball,Black Tie,Red,Dosbrak,Jonah Lomu,3yQvWMbC67EmMxyJq9zRyBkYYpTkmmc9979PJonoiiQq,127
8,Standard,Halo,No Trait,No Trait,Wayfarers,Crown Ball,Black Tie,Orange,Dosbrak,Jonah Lomu,8nqPY171m4eHiN1eRxHpgRk5xTEivC4YzfnuZZHR1f1u,128
7,Standard,No Trait,Bane,No Trait,No Trait,Nz Ball,Cm Jersey,Blue,Dosbrak,Jonah Lomu,CUM4cYVc39vErtksaKwn24X9LZMoHrazVWZhsWyb9inj,129
8,Young,Halo,No Trait,No Trait,Laser Eyes,Gold Chain,Nz Old Jersey,Blue,Dosbrak,Jonah Lomu,5Y5kJbYajwuQmCetzkkJufug2UJT6JzmkCMqM5jnsYGw,130
