Attribute count,Role,Background,Facetats,Eyes,Eyes Items,Form,Hats,Mouth,Hair,Neck,Hand with Items,Upper Part,Random Things,Ears,Nose,Genesis Role?,Companions,Beard,Coats,Bg Feature,mint,rank
7,420 Sealz,Lightbrown,None,None,None,Cyborg,None,None,Long Wavy Rainbow,None,None,Suit Dune,None,Double Piercing,None,Yes,None,None,None,None,2E8N8rZNyhc9QPywHTRhYWFkZPFJ4Frz66Nu5Pu4NmYN,19
11,Chimpion,Glass Pastel,None,None,None,Form Bones Redfur,None,Bones Open Mouth J,Backstreetboy Style Red,Weed Chain,Metal Controller Red Fur,Banana Shirt,Cannabis Plant,None,None,None,Yellow Parrot,None,None,Smoke Ring,CGZR9peyMiFgcPaE1UmECafhBswy5eNMXMChRXrM2LR3,20
9,Farmer,Farmer Horizontal,Always Stoned,None,None,Form Bones Blondfur,Wide Sunhat,None,Backstreetboy Style Red,None,None,Just Smoke It Tee,None,None,None,Yes,None,None,None,Smoke Ring,AyPmaA91X7kih63GMyf8Njj7oqEF33yvLd4YBv5sXHUy,21
11,Scientist,Blue Gradient,None,Awake Black,None,Leopard,Blue Beret,Rainbow Teeth,Long Wavy Leo,None,Test Tube Leo Fur,Lab Coat Solana Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,6emPqNz8WBe2PuCejweuzJA66QQBtFDugZb5h8bcRkRd,22
7,Businessman,Hippie 1,None,None,None,Form Bones Rainbowfur,None,None,None,None,None,Striped Shirt With Color Splashes,Cannabis Plant,None,None,None,None,Blonde Moustache,None,Smoke Ring,7Xee6J5BJCrFQA9HJHHv6PvhoJT6vyi7PFcjgstQXejy,23
11,Farmer,Space 1,None,Awake Green,None,Leopard,Sunhat,Banana Joint,Smooth Long Hair Leo,None,Watering Can Leo Fur,Green Farmer Big Checkered,Cannabis Plant,None,None,Yes,None,None,None,None,5iiJtZ8j4sqygZghXFgVFm4Hsdn2cAGM478G7dddTYeY,24
8,Scientist,Lightbrown,None,None,None,Form Bones Rainbowfur,None,Mask Brown,Yellow Beanie Rainbow Fur,None,None,Lab Coat Solana Tie Suit,None,None,None,Yes,None,None,None,Smoke Ring,6LNYtab1tgJPD3wzF9xqoVU91hvacn8GzH1bfdyeHLTv,25
6,Chimpion,Green Gradient,None,None,None,Form Bones Brownfur,Orange Pothat,None,None,None,None,420 Da Vinci Tee,None,None,None,None,None,None,None,Smoke Ring,J85TQV9T7kE1RUGFRpQQ3SoyCY533VEqaL5cB7TTnqWg,26
9,Farmer,Blue Gradient,Solana,Red,None,Leopard,None,Money Joint,Pink Beanie Leo Fur,None,Joint Leo Fur,White Hodl Tee,None,None,None,None,None,None,None,None,GviMMNMXyQmKg41EEYuuQ5joBXQEGzkPvLuXmoxVfnDS,27
9,Chimpion,Matrix,None,Red,None,Leopard,None,Banana Joint,Pink Beanie Leo Fur,Necklace,Joint Leo Fur,Blue Puff Puff Hoodie,None,None,None,None,None,None,None,None,8Mz6Reas4Xm5cxV6p5YiL8KU5izYjbLkBgN5u8piFYkQ,28
10,Artist,Light Solana Gradient,None,Awake Green,None,Leopard,None,Laughing,Orange Beanie,None,Grey Controller Leo Fur,Green Shirt,Questionmark,None,None,None,None,Big Smile Beard,None,None,BAGBJSzkUjcBzUqNLBjvg7ehqzw6ARFieLomQtQqjUSr,29
10,Farmer,Matrix,Always Stoned,Sad,None,Dark Blonde,Sunhat,Gentle Smile,None,None,None,Brown Hippie Top,Cannabis Plant,None,None,Yes,None,None,None,None,48VxdYN6W8YvTihVADMYLVTEWSohsgznBXejq4tRX2Wy,30
12,Businessman,Violet,None,Angry,Green Laser,Leopard,None,Rolled Joint,Backstreetboy Style Leo,None,Business Lighter Leo Fur,Brown Business Suit With Bow Tie & Hat,Flamingo Bong,None,Nose Piercing,Yes,None,None,None,None,4hj9wz5JoLo3KvyzP4e4uTsr9tbduw5kzPAZYvfXBZzh,31
12,Farmer,Green Smoke,None,Awake Green,420 Googles,Leopard,None,Banana Joint,Red Beanie Leo Fur,Necklace,Farmer Scissors Leo Fur,Banana Shirt,None,Double Piercing,None,Yes,None,None,None,None,FxpPc6cXNtVZG4DPTAavfLMFp547QgKy9fpnmcqYBBw3,32
6,Scientist,Space 4,None,None,None,Red Gradient,Gold Astro Helmet,None,None,None,None,Lab Coat Red Tee,None,None,None,Yes,None,None,None,None,4mVtd1hfuwkfxw8s2tKfMANAK9mju63TJgHJshcKL7kN,33
11,Farmer,Violet,None,Red,None,Leopard,None,Mask Brown,Red Beanie Leo Fur,Weed Chain,Brownie & Joint Leo Fur,Blue Farmer Overall,Cannabis Plant,None,None,Yes,None,None,None,None,BBHZN8erEnQWB9apEzfA3ZAEPoYs7JDMYxnWEQcwrifo,34
13,Businessman,Solana,Always Stoned,Red,Tear,Leopard,Pothat,Gold Teeth,Long Wavy Leo,None,Business Lighter Leo Fur,Business Suit With Red Tie,Pin On Suit,None,None,Yes,None,None,None,None,B8WbzoRFyMWYri5RfhbcewSL4p34sYzNaWdHGKgwjC7D,35
10,Businessman,Lightpink,None,Awake Green,None,Leopard,None,Rainbow Teeth,Red Beanie Leo Fur,None,Banana Pipe Leo Fur,Beige Business Suit With Tie,Questionmark,None,None,Yes,None,None,None,None,HCiwWuAVQ4e9n2VPrTRj3YPgGSNkwdv6NBsLVHDiD6WM,36
12,Businessman,Lightpink,Tiny Sac,Black,None,Leopard,Blue Beret,Laughing,Long Wavy Leo,None,Business Lighter Leo Fur,Beige Business Suit With Tie,Pin On Suit,None,None,Yes,None,None,None,None,4xtyXw4qm2zonPvKysJd8kKJiedqCtqaGyVzSmugJHWS,37
12,Scientist,Lights,None,Angry,None,Leopard,Weed Hairband,Eating Pizza,Facon Style Leo,None,Poker Cards Leo Fur,Lab Coat Jamaica Tee,Questionmark,None,None,Yes,None,Full Light Beard,None,None,FdVyaHduimqR4a8fEwuzA7hGWBqMB2FPAySW7TVBSktw,38
11,Chimpion,Blue,None,Angry,None,Leopard,Banana Hairband,Gentle Smile,Facon Style Leo,None,Metal Controller Leo Fur,Pink Canna Jacket,Questionmark,None,None,None,None,Full Light Beard,None,None,FFuCTGTM4U3NA877ACXTpmWTxfewSCmT5Lxd9tTvoNMY,39
12,Artist,Lightbrown,None,Red,Green-orange Glasses,Leopard,Samo Hairband,Open,Facon Style Leo,None,Metal Controller Leo Fur,Yellow Poloshirt,Abstract Canvas,None,None,Yes,None,None,None,None,DucCeHEH88zwm8x1kQsx3HtD6bKCJqJF8kS9r25mVY6c,40
12,Farmer,Yellow,None,Sad,Gold Monocle,Light Brown,Wide Sunhat,Grinding,Long Wavy Light Brown,None,Watering Can Light Brown Fur,Red Puff Puff Hoodie,Cannabis Plant,None,None,Yes,None,None,None,None,GdMPbiHoj9XYtp4WumUkkF8xXA7qXcjduCAmviNAFHhx,41
12,Chimpion,Lightbrown,None,Black,None,Leopard,Samo Hairband,Money Joint,Facon Style Leo,Weed Chain,Pink Donut Leo Fur,Just Hit It Hoodie,None,Double Piercing,Nose Piercing,None,None,None,None,None,74sHdsZYWnRcoj3NJ8Vd3Zez8kcdc9e9cM4f2TVZks1w,42
13,Farmer,Blue Gradient,None,Black,Laser Eyes,White,Orange Pothat,Gentle Smile,Long Wavy White,None,Farmer Scissors White Fur,Pink Canna Jacket,None,Double Piercing,None,Yes,None,Full Lip Beard,None,None,DCN6hWC3hMbJsC9fJEsfZdmEJEQhxPVafsWN1uFviJqR,43
11,Farmer,Solana,None,Blue,None,White,Wide Sunhat,Puffin,Long Wavy White,None,Farmer Scissors White Fur,Red Puff Puff Hoodie,None,Golden Earring,None,Yes,None,None,None,None,CrtwCDuSV2csoRJ8mFWu8PbHUrV1Yogmpp8x8QEn95n3,44
8,Scientist,Violet,None,Sad,None,Leopard,None,Open,Red Beanie Leo Fur,None,Joint Leo Fur,Violet Canna Jacket,None,None,None,None,None,None,None,None,2hqUXyEhiSYfwXxSnQ8ZVCPE3o9qBWWvtCj4S9AhTmhh,45
11,Businessman,Violet,None,Red,Laser Eyes,Light Blonde,Green Hippie Hairband,Puffin,Facon Style Light Blonde,None,Business Lighter Light Blonde Fur,Green Business Suit With Tie,None,None,None,Yes,None,None,None,None,Gr9Y6L8yBPrKZPifCzkSgFPRgGZ9Njbc1xkswwFz9d4b,46
12,Farmer,Yellow,None,Awake Green,None,White,Green Beret,Gentle Smile,Smooth Long White,None,Brownie White Fur,Banana Shirt,Cannabis Plant,None,None,Yes,None,Full Lip Beard,None,None,7CVNQMdQiJxprzwtmJnr52vgV13RqLXdmtbnsGjEJUnf,47
9,Businessman,Blue,None,Red,None,Leopard,None,Gentle Smile,Orange Beanie,None,Brownie & Joint Leo Fur,Green Business Suit With Tie,None,None,None,Yes,None,None,None,None,BhSeoiYwgqwpFhHvqzoq5Zhs4FyQKPKeH87TMeK6zUWZ,48
11,Chimpion,Brown Plain,None,Black,None,Rainbow,Grey Headphones,Gentle Smile,Long Wavy Rainbow,None,Brownie Rainbow Fur,Red Puff Puff Hoodie,Questionmark,None,None,None,None,Full Lip Beard,None,None,4tpHk7i65ECMx2NLXgKQgwaD2Q718b3fDo3F4rq73hXr,49
11,Businessman,Space 1,None,Sad,Tear,Leopard,None,Rainbow Teeth,Backstreetboy Style Leo,None,Pink Donut Leo Fur,Blue Business Suit With Bow Tie & Hat,None,Golden Earring,None,Yes,None,None,None,None,7z4uxbzS3r4PQxBCXtJvAnaBq7QTcc559N4q1TQLUsTQ,50
9,Scientist,Glass Pastel,None,Awake Black,None,White,None,Gentle Smile,None,None,Brownie & Joint White Fur,Banana Shirt,None,Golden Earring,None,None,None,Full Lip Beard,None,None,DNEJwZw37xW6bazWYLzUz8jckGGPJ9ZEhoyFFCV2qhzt,51
6,Chimpion,Hippie 2,None,Angry,None,Dark Blonde,None,Gentle Smile,None,None,None,420 Da Vinci Tee,None,None,None,None,None,None,None,None,A1kK2vP5CKPCRLMN2c9MbynGhxkNNhJkarz57m5DoakW,52
12,Farmer,Darkblue Gradient,None,Red,Green-orange Glasses,Leopard,None,Puffin,Long Wavy Leo,Necklace,Farmer Scissors Leo Fur,Hawaiian Shirt,None,None,None,Yes,None,Light Beard,None,None,HadKfF4f2oRHGu6vXL4K7Qnf75UtuFj1DAfrP4huQFkR,53
9,Scientist,Space 3,None,Awake Green,None,Leopard,None,Rainbow Teeth,Orange Beanie,None,Pink Donut Leo Fur,Blue Hodl Hoodie,Questionmark,None,None,None,None,None,None,None,CyMLGtK4zKcAyKyym5KWRix26j22pdPw9AZeNYLNogtL,54
12,Farmer,Blue,None,Red,None,Choc Brown,Wide Sunhat,Rainbow Teeth,Long Wavy Chocbrown,Weed Chain,None,Banana Shirt,Cannabis Plant,Golden Earring,None,Yes,None,None,None,None,2BM1CCq4hYJ77QjjqyeAcNerCB95zqwWaVkoGy57wycq,55
14,Artist,Brown Plain,Tiny Sac,Red,Green Glasses,Leopard,Green Beret,Biting,Long Wavy Leo,Weed Chain,Graffiti Spray Can Red Top Leo Fur,Pink Hippie Top,Abstract Canvas,None,None,Yes,None,None,None,None,3tNHrpzLxQSVc6r724oVP5jUChRgNCF9bTwdsh9FSBH6,56
11,Farmer,Farmer Background,None,Awake Black,None,Choc Brown,Pothat,Laughing,Long Wavy Chocbrown,Hippie Necklace,None,Blue Puff Puff Hoodie,None,None,None,Yes,None,Big Smile Beard,None,None,8hESV3kpYYzKK2geU9qnk2U5tfWnHMd5rmzh6QZ4s4U3,57
10,Farmer,Blue,None,Red,None,Leopard,Green Beret,Biting,Long Wavy Leo,None,Watering Can Leo Fur,Orange Farmer Overall,None,None,None,Yes,None,None,None,None,HQVapF7LpKuxdaPUSzqXg5FX5f5qV1b7GxnzDpSMDCBH,58
9,420 Sealz,Solana,None,Blue,Bright Bue Eyes,Light Brown,None,None,Yellow Beanie Light Brown Fur,None,Business Lighter Light Brown Fur,Suit Dune,None,None,None,Yes,None,None,None,None,2ftGHrkcvnBRC2QcD4K4w3aYUJeCn2kcQtZ33ajC95qU,59
9,Chimpion,Blue,Tiny Sac,Awake Black,None,Leopard,None,Rainbow Teeth,Orange Beanie,None,Joint Leo Fur,Green Poloshirt,None,None,None,None,None,None,None,None,99rRJUhjMmyWTzhTminvzbxb2isC45Ppr4rm93M9urPY,60
14,Farmer,Brown Plain,None,Sad,None,Leopard,Green Beret,Biting,Long Wavy Leo,None,Farmer Scissors Leo Fur,Violet Canna Jacket,Flamingo Bong,Golden Earring,Nose Piercing,Yes,None,None,Green Trenchcoat,None,7Lfe4memeiKh7nT5NhcLXuUYYDqDBURtZRdjwvZSMTdF,61
9,Scientist,Lightbrown,None,Blue,None,Leopard,None,Open,Orange Beanie,None,Joint Leo Fur,Green Funky Tee,Questionmark,None,None,None,None,None,None,None,D6zTuzFfevkQ44BEyYU6hqFjnq61pPBfweygFMFmyk7U,62
14,Chimpion,Matrix,Always Stoned,Awake Green,Green Monocle,Rainbow,Grey Headphones,Laughing,Long Wavy Rainbow,Weed Chain,Poker Cards Rainbow Fur,Sac Shirt,Questionmark,None,None,None,None,Big Smile Beard,None,None,BP7Pb49byKLhqbSGqkauTSsoYcPZ2VLhJKFRQFvs3ZBV,63
11,Businessman,Blue Gradient,Tiny Sac,Red,Red John Lennon Glasses,Light Blonde,None,Grinding,None,None,Business Lighter Light Blonde Fur,Brown Business Suit With Bow Tie & Hat,None,Double Piercing,None,Yes,None,None,None,None,9g3Zy8LHJNcP1ZypPcuGtdDL4jpWmyoyHSUnPDk9JaQd,64
12,Scientist,Green Gradient,Tiny Sac,Awake Green,None,Leopard,Dark Grey Headphones,Gold Teeth,Smooth Long Hair Leo,None,Grey Controller Leo Fur,Lab Coat Jamaica Tee,Sciece Bong,None,None,Yes,None,None,None,None,2BUaViC199FDyfhxdbSTKqrxvkCZ51n2hn2dfrBzTQuR,65
12,Farmer,Space 2,None,Blue,None,Leopard,Brown Flat Cap,Angry Mouth,Smooth Long Hair Leo,Weed Chain,Farmer Scissors Leo Fur,Weed Shirt,Cannabis Plant,None,None,Yes,None,None,None,None,9cEE4AmXKPo3DQP3Bd5c4fUwKX4LP2TrcjqDuoitsK4y,66
10,420 Sealz,Darkblue Gradient,None,Black,Green John Lennon Glasses,Choc Brown,Beige Flat Cap,None,Smooth Long Chocbrown,None,None,Suit Dune,None,None,None,Yes,Green Parrot,None,None,None,CCfiSvv8mJZ11Si9TKkUBwTdHwKwx6HDDUFa5cpzSitV,67
11,Artist,Brown Plain,Tiny Sac,Blue,None,Leopard,None,Open,None,Necklace,Graffiti Spray Can Red Top Leo Fur,Blue Weed Shirt,None,Paintbrush Behind Ear,None,Yes,None,None,None,None,56K5xNNjhTjRjY1dBTZs57nXXjuB2d3DdwwMrC4aHpXK,68
11,Artist,Lightbrown,None,Angry,None,Leopard,None,Open,Long Wavy Leo,None,Graffiti Spray Can Red Top Leo Fur,Violet Canna Jacket,None,None,None,Yes,Serious Weedy,Full Light Beard,None,None,DdGzHp1gBkfE6SFrk1Efq4LiusgZLxuonuS7A8DeMQDf,69
10,Scientist,Lightbrown,None,Awake Black,None,Leopard,None,Mask Brown,Long Wavy Leo,None,Grey Controller Leo Fur,Lab Coat Red Tee,None,Leaf Behind Ear,None,Yes,None,None,None,None,HDjvLAicZf6yYVBjEXyY55yQ2gByZGfMehRkNSdhMzpE,70
13,Farmer,Brown Plain,Always Stoned,Blue,Laser Eyes,Leopard,Brown Flat Cap,Eating Pizza,Smooth Long Hair Leo,Weed Chain,Watering Can Leo Fur,Green Funky Tee,None,None,None,Yes,None,None,None,None,hvF7cTQTXLGGyTcTyfSEiKV1g7isHcQzssRckdE2hjW,71
12,Scientist,Yellow,None,Angry,Green-orange Glasses,Light Brown,Batiklila Hippie Hairband,Angry Mouth,Facon Style Light Brown,None,Test Tube Light Brown Fur,Lab Coat Red Tee,Sciece Bong,None,None,Yes,None,None,None,None,7LUx742mHXewqSXVmABLC88gG5YxJv1e6G5yoaP6F8wE,72
12,Artist,Space 3,None,Sad,Red John Lennon Glasses,Leopard,Orange Pothat,Eating Pizza,None,Weed Chain,Graffiti Spray Can Red Top Leo Fur,Blue Puff Puff Hoodie,None,Double Piercing,None,Yes,None,None,None,None,7AUpKEtkwyPiVpb4AjHYwL2UAiwHfzpC5hQmdFTKfNqk,73
10,Businessman,Violet,None,Blue,None,Light Blonde,Grey Headphones,Banana Joint,Long Wavy Light Blonde,None,Business Lighter Light Blonde Fur,Green Business Suit With Tie,None,None,None,Yes,None,None,None,None,J4SFR3pTk79AZqiJED2kHLiHSCRDBnd7tDvni3MN4rVz,74
12,Farmer,Blue Gradient,None,Black,Flashing Eyes,Leopard,None,Grinding,Smooth Long Hair Leo,None,Farmer Scissors Leo Fur,Blue Weed Shirt,Questionmark,None,None,Yes,Weedy With Glasses,None,None,None,CBKrQXAXeeyyooK7TSqNoiwRnrUfCij99ZFyiG5oufyt,75
13,Scientist,Space 1,None,Red,Big Solana Glasses,Light Brown,Solana Pothat,Rolled Joint,Long Wavy Light Brown,None,Test Tube Light Brown Fur,Lab Coat Solana Tie Suit,None,None,Nose Piercing,Yes,None,Blonde Moustache,None,None,6T7v3GifREJ6CWPi5Jd37UYfUJ4xm8H8RVhrUEkAvWrv,76
9,Businessman,Matrix,None,Red,None,White,Green Astro Helmet,Puffin,None,None,Poker Cards White Fur,Blue Legalize Hoodie,None,None,None,None,None,Beard,None,None,7ketHM4cjHUjMwgd9wxdthRz8Wad2rBauyMNkNdX1ZMb,77
10,Businessman,Hippie 1,None,Red,Green-orange Glasses,Light Blonde,None,Banana Joint,Long Wavy Light Blonde,None,Business Lighter Light Blonde Fur,Beige Business Suit With Tie,None,None,None,Yes,None,None,None,None,E2oi16jWuS2Gj6ZjfDxbMyo6WAeGKuLGLGqLYByorBae,78
11,Artist,Space 1,None,Awake Green,None,Leopard,Blue Beret,Grinding,Long Wavy Leo,Weed Chain,Graffiti Spray Can Red Top Leo Fur,Blue Puff Puff Hoodie,None,None,None,Yes,None,None,None,None,CR98iSd6AQNnxfeoSTPdrDYJZts8mqcAnsSRwz5vrsXJ,79
10,420 Sealz,Solana,Always Stoned,Blue,Bright Green Eyes,Light Brown,None,None,Backstreetboy Style Light Brown,None,Pink Donut Light Brown Fur,Suit Dune,None,None,None,Yes,None,None,None,None,5J72usALcd9J6v2jNHU4dsXxRfnwSvxGxFiijbpbmWau,80
11,Businessman,Brown Plain,None,Sad,None,Light Blonde,None,Gold Teeth,Smooth Long Light Blonde,None,Business Lighter Light Blonde Fur,Business Suit With Red Tie,Pin On Suit,Double Piercing,None,Yes,None,None,None,None,9jpJy6rqSoo8j2yWhxmvzHGtZTS4nc9V4F28RgvTYE2H,81
10,Scientist,Lightbrown,None,Awake Green,None,Leopard,Green Astro Helmet,Banana Joint,Long Wavy Leo,None,Joint Leo Fur,Red Puff Puff Hoodie,None,None,Nose Piercing,None,None,None,None,None,FFqQLquKSmgR6sktkVehAYU437tGFwifNNsFZjxNfZUQ,82
9,420 Sealz,Violet,None,Black,Golden Glasses,Light Blonde,None,None,Smooth Long Light Blonde,None,None,Suit Dune,None,None,None,Yes,Weedy With Glasses,None,None,None,D23QyQZeECQ7svabXpcH1mQqeMDrhPuPouWBstQXEB3e,83
12,Scientist,Hippie 1,None,Red,None,Light Brown,Dark Grey Headphones,Mask Brown,Smooth Long Light Brown,Hippie Necklace,Test Tube Light Brown Fur,Lab Coat Jamaica Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,8jnzhyBiMLbwGagB4W6fjfFVWQ1b6PQqUwtyvP7rHz1G,84
11,Farmer,Farmer Background,None,Angry,Big Solana Glasses,Choc Brown,Kings Crown,Smoking Joint,Long Wavy Chocbrown,None,Brownie Chocbrown Fur,Pink Canna Jacket,None,None,None,Yes,None,None,None,None,4RdrDEZ89EGeTaXH4zKnPh9eYkugBG1CFYArZsQeghRW,85
11,Farmer,Farmer Vertical,None,Angry,Green Monocle,White,None,Eating Pizza,Yellow Beanie White Fur,None,Poker Cards White Fur,Just Hit It Hoodie,None,Leaf Behind Ear,None,Yes,None,None,None,None,59R6QguGXxZFd1NgFM82YuRsTrGA7JiuaQAXjpEvFw28,86
9,Farmer,Blue Gradient,None,Red,None,Dark Blonde,Green Astro Helmet,Open,None,None,None,Yellow Farmer Overall,None,None,None,Yes,Serious Weedy,None,None,None,8KtDYBA1LrYtT2xZnGTUd8r9yyy7AqBxP5enmRh7hpMt,87
13,Artist,Light Solana Gradient,Always Stoned,Red,Green Laser,Leopard,Solana Headphones,Eating Pizza,Long Wavy Leo,None,Grey Controller Leo Fur,Just Hit It Hoodie,Abstract Canvas,None,None,Yes,None,None,None,None,BZWFjRXjFJKJgbaviEYyar752xCRvMEqkezAc6hvHUGR,88
14,Farmer,Farmer Vertical,None,Red,Big Solana Glasses,White,Orange Pothat,Laughing,Long Wavy White,Hippie Necklace,Joint White Fur,Green Farmer Big Checkered,None,None,Nose Piercing,Yes,None,None,Brown Trenchcoat,None,5bRzYQJvL5BJvJqM4bgN9EFx55k2q4tUJDdXKUF31K4w,89
11,Artist,Blue,None,Red,None,Leopard,Blue Beret,Banana Joint,Long Wavy Leo,None,Grey Controller Leo Fur,Samo Hoodie,None,Paintbrush Behind Ear,None,Yes,None,None,None,None,Gg5AtqLckPiFgdzQce2kU7TmhRJLywFbJDwcETFzv8rw,90
14,Scientist,Yellow,Tiny Sac,Black,Flashing Eyes,Light Brown,Red Beret,Laughing,Long Wavy Light Brown,Weed Chain,Test Tube Light Brown Fur,Lab Coat Red Tee,None,Golden Earring,None,Yes,None,None,None,None,4Wz3yhKf7BkXVAwskPvhfMUqYyJ3vajzYzP3AHptMwbm,91
13,Farmer,Farmer Horizontal,None,Angry,Robo Eyes,Rainbow,Solana Astro Helmet,Puffin,Long Wavy Rainbow,None,Poker Cards Rainbow Fur,Yellow Farmer Overall,Questionmark,None,Nose Piercing,Yes,None,None,None,None,ZqVFDqdE8dpJUgcq6ry8FDdSn1FGsDpiaWjzQ1Udstp,92
